model,AAPL,ATVI,ATHN,MSFT,ADBE,ORCL,CRM,WDAY,ACN,TWTR,CNQR,PEGA,AZPN,BYI
gru1,40.8997268231,25.53888734880283,10.230677410435565,24.17282445631393,18.549135837846457,65.84880296002655,15.391164127110747,nan,50.54861486366236,nan,22.103925088987612,nan,26.02337218446811,56.997901216337475
gru2,35.15233402429058,23.45239957763098,10.768607604654115,16.136366526800956,12.222517045519073,29.244186960152604,4.281087063974749,nan,19.77974744925005,nan,15.196076062545671,nan,18.440787747505514,8.214765956472341
gru3,14.772351118581502,20.375270628523634,13.258176331957486,13.579513350271327,13.64366463267535,32.000473332439725,12.879473287357042,nan,32.13669246489349,nan,27.67824867071868,nan,10.753388425044184,30.86555094632959
